codigo_provincia;nombre_provincia;%_desploblamiento_2023;ambossexos_tasaactividad_2023;ambossexos_tasaempleo_2023;ambossexos_tasaparo_2023;hombres_tasaactividad_2023;hombres_tasaempleo_2023;hombres_tasaparo_2023;mujeres_tasaactividad_2023;mujeres_tasaempleo_2023;mujeres_tasaparo_2023
1;Araba/Álava;80;58.33;54.36;6.8;64.94;60.84;6.3;52.15;48.3;7.36
2;Albacete;73;59.0;51.98;11.88;66.18;59.8;9.63;51.91;44.26;14.72
3;Alicante/Alacant;44;58.41;50.7;13.22;63.68;56.54;11.23;53.36;45.09;15.5
4;Almería;62;61.16;51.44;15.87;67.63;57.62;14.76;54.53;45.1;17.35
5;Ávila;94;53.84;47.52;11.72;60.37;53.97;10.58;47.21;40.98;13.18
6;Badajoz;62;57.99;47.25;18.52;64.3;54.62;15.03;51.92;40.14;22.68
7;Balears, Illes;17;63.77;57.1;10.6;67.94;61.09;10.18;59.67;53.2;11.07
8;Barcelona;37;62.17;56.66;8.86;66.25;60.46;8.74;58.4;53.16;8.99
9;Burgos;97;57.59;53.08;7.82;62.06;57.79;6.88;53.09;48.35;8.93
10;Cáceres;87;53.26;45.18;15.13;58.63;51.04;12.94;47.94;39.38;17.82
11;Cádiz;13;55.12;42.82;22.31;60.71;49.21;18.93;49.77;36.7;26.27
12;Castellón/Castelló;77;56.28;48.36;14.06;60.33;52.86;12.38;52.37;44.02;15.95
13;Ciudad Real;64;55.52;46.5;16.26;62.33;54.65;12.32;48.87;38.54;21.16
14;Córdoba;32;55.7;45.55;18.23;63.18;54.15;14.3;48.62;37.4;23.06
15;Coruña, A;16;53.64;48.76;9.11;57.68;52.94;8.22;49.98;44.97;10.03
16;Cuenca;93;56.3;49.9;11.39;62.16;57.13;8.11;50.22;42.38;15.62
17;Girona;71;61.12;55.26;9.59;66.26;60.5;8.67;56.08;50.12;10.65
18;Granada;58;58.41;46.53;20.32;63.96;53.1;17.0;53.07;40.23;24.19
19;Guadalajara;93;64.51;58.12;9.9;68.85;62.85;8.71;60.06;53.28;11.29
20;Gipuzkoa;48;55.09;51.02;7.38;57.26;53.54;6.5;53.07;48.68;8.25
21;Huelva;45;56.6;46.21;18.38;61.27;51.48;15.97;52.12;41.14;21.14
22;Huesca;93;57.16;52.42;8.28;62.99;58.58;6.99;51.23;46.18;9.88
23;Jaén;40;52.09;42.54;18.31;59.39;49.86;15.99;44.95;35.37;21.26
24;León;85;50.56;45.38;10.26;54.69;50.2;8.19;46.69;40.84;12.54
25;Lleida;83;59.16;54.81;7.36;64.84;60.66;6.45;53.32;48.8;8.44
26;Rioja, La;87;59.32;53.89;9.16;64.15;59.15;7.8;54.69;48.84;10.7
27;Lugo;43;52.5;48.07;8.43;54.78;50.52;7.76;50.38;45.79;9.11
28;Madrid;36;63.41;56.94;10.2;67.83;61.84;8.84;59.42;52.52;11.62
29;Málaga;44;58.22;48.5;16.69;62.65;53.87;14.02;54.07;43.47;19.6
30;Murcia;11;59.67;52.12;12.64;65.95;58.74;10.93;53.46;45.59;14.71
31;Navarra;77;59.05;53.22;9.88;63.32;57.54;9.12;54.92;49.03;10.74
32;Ourense;75;48.79;44.05;9.72;51.01;46.23;9.4;46.74;42.04;10.06
33;Asturias;50;50.66;44.52;12.1;53.97;47.96;11.15;47.67;41.43;13.08
34;Palencia;94;55.27;50.79;8.13;61.64;57.78;6.27;49.13;44.02;10.38
35;Palmas, Las;8;61.16;52.02;14.95;65.57;56.66;13.58;56.92;47.54;16.48
36;Pontevedra;7;54.37;48.44;10.9;59.59;53.66;9.94;49.56;43.63;11.96
37;Salamanca;95;54.24;48.48;10.61;59.1;53.52;9.44;49.71;43.78;11.92
38;Santa Cruz de Tenerife;11;58.18;48.26;17.07;63.21;53.95;14.68;53.38;42.82;19.79
39;Cantabria;52;55.01;50.56;8.09;59.56;55.76;6.39;50.74;45.69;9.97
40;Segovia;94;59.92;55.08;8.08;64.78;60.76;6.2;55.05;49.4;10.29
41;Sevilla;13;58.28;48.58;16.64;62.55;53.72;14.11;54.28;43.76;19.37
42;Soria;96;57.37;52.76;8.1;60.59;57.38;5.35;54.02;47.96;11.27
43;Tarragona;66;58.94;52.48;10.98;63.72;57.41;9.91;54.25;47.65;12.2
44;Teruel;95;57.19;51.8;9.44;59.71;55.28;7.45;54.59;48.21;11.7
45;Toledo;57;60.44;52.31;13.44;66.67;60.07;9.9;54.15;44.48;17.82
46;Valencia/València;48;60.34;53.19;11.85;65.64;59.07;10.01;55.4;47.71;13.9
47;Valladolid;88;55.78;50.77;8.98;61.26;56.88;7.15;50.65;45.06;11.05
48;Bizkaia;52;57.37;52.86;7.88;62.58;58.12;7.13;52.58;48.02;8.7
49;Zamora;98;51.49;44.57;13.42;57.33;50.21;12.39;45.73;39.01;14.69
50;Zaragoza;88;59.22;54.4;8.14;63.52;59.84;5.8;55.2;49.32;10.63
51;Ceuta;0;61.31;44.84;26.87;66.11;52.27;20.94;56.44;37.33;33.81
52;Melilla;0;57.29;43.85;23.45;62.83;48.33;23.06;51.98;39.54;23.9
