cod_prov;nom_prov;porcen_desp;pob_tot;pob_hom;pob_muj;asexos_tactividad;asexos_templeo;asexos_tparo;hombres_tactividad;hombres_templeo;hombres_tparo;mujeres_tactividad;mujeres_templeo;mujeres_tparo;ocupados_agricultura;ocupados_construccion;ocupados_industria;ocupados_servicios;ipc_alim;ipc_bebi;ipc_vest;ipc_vivi;ipc_hoga;ipc_sani;ipc_trans;ipc_comu;ipc_ocio;ipc_ense;ipc_resta;ipc_otros;pib_prec;pib_agri;pib_indu;pib_ind_manu;pib_constr;pib_comer;pib_act_fin;pib_admin;pib_valor_brut;pib_imp_netos;group;kmeans_group;dbscan_group;em_group
1;Araba/Álava;80;336686;165743;170943;58.33;54.36;6.8;64.94;60.84;6.3;52.15;48.3;7.36;1.7;4.88;28.05;65.35;122.42;110.94;100.99;100.95;112.35;102.99;112.54;101.79;107.5;102.22;112.59;109.4;12939983;201362;3832143;3473573;400677;1946392;2434844;2891885;11707303;1232680;2;3;0;0
2;Albacete;73;387174;193676;193498;59.0;51.98;11.88;66.18;59.8;9.63;51.91;44.26;14.72;8.93;5.7;14.32;71.05;124.91;112.22;106.55;105.06;110.65;100.65;112.93;102.15;107.02;105.42;116.28;109.24;8663814;884324;1397006;1018831;465911;1559382;1440261;2091603;7838487;825327;2;3;0;0
3;Alicante/Alacant;44;1950357;963046;987311;58.41;50.7;13.22;63.68;56.54;11.23;53.36;45.09;15.5;2.12;8.88;13.55;75.47;125.63;112.59;106.79;99.05;111.75;102.82;114.18;101.77;107.64;103.41;113.39;109.62;37279735;547312;3627964;2916222;2556047;9851680;8929332;8216082;33728417;3551318;4;0;0;0
4;Almería;62;753920;385180;368740;61.16;51.44;15.87;67.63;57.62;14.76;54.53;45.1;17.35;21.5;4.65;8.28;65.57;125.04;111.76;102.37;101.34;109.4;102.99;111.78;102.34;106.23;103.67;113.73;108.12;15659622;2443690;1348695;1020119;723957;3793774;2816431;3041318;14167865;1491757;3;0;-1;0
5;Ávila;94;158407;79551;78856;53.84;47.52;11.72;60.37;53.97;10.58;47.21;40.98;13.18;10.18;7.65;10.82;71.3;124.43;111.34;104.29;109.17;111.88;103.97;112.43;102.03;106.29;101.41;119.18;108.44;3300110;141202;324441;251439;266759;645518;678479;929338;2985737;314373;2;2;0;0
6;Badajoz;62;1330178;656840;673338;57.99;47.25;18.52;64.3;54.62;15.03;51.92;40.14;22.68;9.3;5.72;10.68;74.28;128.94;112.3;101.61;99.68;109.71;99.35;112.4;101.49;102.52;104.04;111.8;109.11;12723211;1114803;1424693;989504;712482;2239124;2390063;3630016;11511181;1212030;4;1;0;0
7;Balears, Illes;17;1197261;595216;602045;63.77;57.1;10.6;67.94;61.09;10.18;59.67;53.2;11.07;0.52;9.43;6.45;83.58;123.53;113.13;106.1;101.62;111.44;107.12;112.78;102.16;108.78;105.41;115.53;108.89;30031668;154128;1806386;775341;2146768;8876564;8116266;6070699;27170811;2860857;4;0;0;0
8;Barcelona;37;5805500;2833196;2972304;62.17;56.66;8.86;66.25;60.46;8.74;58.4;53.16;8.99;0.28;5.28;16.32;78.08;121.38;111.75;108.43;103.15;112.36;104.56;111.56;101.68;108.26;102.32;112.06;107.39;173721885;723577;32134195;27764672;7393843;42489644;42975113;31456531;157172903;16548982;1;4;-1;1
9;Burgos;97;357180;178376;178804;57.59;53.08;7.82;62.06;57.79;6.88;53.09;48.35;8.93;4.7;5.65;24.45;65.22;125.43;110.69;101.92;102.06;110.91;100.98;112.84;101.9;105.59;101.3;113.48;107.98;10276704;537609;2948934;2524749;527010;1630774;1738882;1914522;9297731;978973;2;3;0;0
10;Cáceres;87;387434;191581;195853;53.26;45.18;15.13;58.63;51.04;12.94;47.94;39.38;17.82;8.55;8.5;12.22;70.7;124.85;111.17;95.32;100.06;107.05;102.42;110.53;101.8;104.4;101.58;112.88;108.66;7926526;539289;1314786;304861;595778;1230075;1393426;2098080;7171434;755092;2;2;0;0
