codigo_provincia;nombre_provincia;Municipios;Sexo;Periodo;Total
36;Pontevedra;36020 Agolada;Total;2023;2254
36;Pontevedra;36020 Agolada;Total;2022;2252
36;Pontevedra;36020 Agolada;Total;2021;2228
36;Pontevedra;36020 Agolada;Total;2020;2304
36;Pontevedra;36020 Agolada;Total;2019;2344
36;Pontevedra;36020 Agolada;Total;2018;2370
36;Pontevedra;36020 Agolada;Total;2017;2431
36;Pontevedra;36020 Agolada;Total;2016;2507
36;Pontevedra;36020 Agolada;Total;2015;2585
36;Pontevedra;36020 Agolada;Total;2014;2651
36;Pontevedra;36020 Agolada;Total;2013;2745
36;Pontevedra;36020 Agolada;Total;2012;2803
36;Pontevedra;36020 Agolada;Total;2011;2926
36;Pontevedra;36020 Agolada;Total;2010;2995
36;Pontevedra;36020 Agolada;Total;2009;3094
36;Pontevedra;36020 Agolada;Total;2008;3176
36;Pontevedra;36020 Agolada;Total;2007;3216
36;Pontevedra;36020 Agolada;Total;2006;3286
36;Pontevedra;36020 Agolada;Total;2005;3414
36;Pontevedra;36020 Agolada;Total;2004;3678
36;Pontevedra;36020 Agolada;Total;2003;3875
36;Pontevedra;36020 Agolada;Total;2002;4117
36;Pontevedra;36020 Agolada;Total;2001;4292
36;Pontevedra;36020 Agolada;Total;2000;4391
36;Pontevedra;36020 Agolada;Total;1999;4457
36;Pontevedra;36020 Agolada;Total;1998;4457
36;Pontevedra;36020 Agolada;Total;1997;
36;Pontevedra;36020 Agolada;Total;1996;4915
36;Pontevedra;36020 Agolada;Hombres;2023;1120
36;Pontevedra;36020 Agolada;Hombres;2022;1124
36;Pontevedra;36020 Agolada;Hombres;2021;1115
36;Pontevedra;36020 Agolada;Hombres;2020;1153
36;Pontevedra;36020 Agolada;Hombres;2019;1175
36;Pontevedra;36020 Agolada;Hombres;2018;1182
36;Pontevedra;36020 Agolada;Hombres;2017;1215
36;Pontevedra;36020 Agolada;Hombres;2016;1243
36;Pontevedra;36020 Agolada;Hombres;2015;1278
36;Pontevedra;36020 Agolada;Hombres;2014;1312
36;Pontevedra;36020 Agolada;Hombres;2013;1355
36;Pontevedra;36020 Agolada;Hombres;2012;1380
36;Pontevedra;36020 Agolada;Hombres;2011;1440
36;Pontevedra;36020 Agolada;Hombres;2010;1470
36;Pontevedra;36020 Agolada;Hombres;2009;1513
36;Pontevedra;36020 Agolada;Hombres;2008;1560
36;Pontevedra;36020 Agolada;Hombres;2007;1573
36;Pontevedra;36020 Agolada;Hombres;2006;1602
36;Pontevedra;36020 Agolada;Hombres;2005;1672
36;Pontevedra;36020 Agolada;Hombres;2004;1807
36;Pontevedra;36020 Agolada;Hombres;2003;1902
36;Pontevedra;36020 Agolada;Hombres;2002;2034
36;Pontevedra;36020 Agolada;Hombres;2001;2105
36;Pontevedra;36020 Agolada;Hombres;2000;2158
36;Pontevedra;36020 Agolada;Hombres;1999;2176
36;Pontevedra;36020 Agolada;Hombres;1998;2176
36;Pontevedra;36020 Agolada;Hombres;1997;
36;Pontevedra;36020 Agolada;Hombres;1996;2392
36;Pontevedra;36020 Agolada;Mujeres;2023;1134
36;Pontevedra;36020 Agolada;Mujeres;2022;1128
36;Pontevedra;36020 Agolada;Mujeres;2021;1113
36;Pontevedra;36020 Agolada;Mujeres;2020;1151
36;Pontevedra;36020 Agolada;Mujeres;2019;1169
36;Pontevedra;36020 Agolada;Mujeres;2018;1188
36;Pontevedra;36020 Agolada;Mujeres;2017;1216
36;Pontevedra;36020 Agolada;Mujeres;2016;1264
36;Pontevedra;36020 Agolada;Mujeres;2015;1307
36;Pontevedra;36020 Agolada;Mujeres;2014;1339
36;Pontevedra;36020 Agolada;Mujeres;2013;1390
36;Pontevedra;36020 Agolada;Mujeres;2012;1423
36;Pontevedra;36020 Agolada;Mujeres;2011;1486
36;Pontevedra;36020 Agolada;Mujeres;2010;1525
36;Pontevedra;36020 Agolada;Mujeres;2009;1581
36;Pontevedra;36020 Agolada;Mujeres;2008;1616
36;Pontevedra;36020 Agolada;Mujeres;2007;1643
36;Pontevedra;36020 Agolada;Mujeres;2006;1684
36;Pontevedra;36020 Agolada;Mujeres;2005;1742
36;Pontevedra;36020 Agolada;Mujeres;2004;1871
36;Pontevedra;36020 Agolada;Mujeres;2003;1973
36;Pontevedra;36020 Agolada;Mujeres;2002;2083
36;Pontevedra;36020 Agolada;Mujeres;2001;2187
36;Pontevedra;36020 Agolada;Mujeres;2000;2233
36;Pontevedra;36020 Agolada;Mujeres;1999;2281
36;Pontevedra;36020 Agolada;Mujeres;1998;2281
36;Pontevedra;36020 Agolada;Mujeres;1997;
36;Pontevedra;36020 Agolada;Mujeres;1996;2523
36;Pontevedra;36001 Arbo;Total;2023;2647
36;Pontevedra;36001 Arbo;Total;2022;2622
36;Pontevedra;36001 Arbo;Total;2021;2599
36;Pontevedra;36001 Arbo;Total;2020;2576
36;Pontevedra;36001 Arbo;Total;2019;2580
36;Pontevedra;36001 Arbo;Total;2018;2637
36;Pontevedra;36001 Arbo;Total;2017;2711
36;Pontevedra;36001 Arbo;Total;2016;2770
36;Pontevedra;36001 Arbo;Total;2015;2846
36;Pontevedra;36001 Arbo;Total;2014;2904
36;Pontevedra;36001 Arbo;Total;2013;2967
36;Pontevedra;36001 Arbo;Total;2012;3191
36;Pontevedra;36001 Arbo;Total;2011;3741
36;Pontevedra;36001 Arbo;Total;2010;3801
36;Pontevedra;36001 Arbo;Total;2009;3833
36;Pontevedra;36001 Arbo;Total;2008;3877
36;Pontevedra;36001 Arbo;Total;2007;3887
36;Pontevedra;36001 Arbo;Total;2006;3955
36;Pontevedra;36001 Arbo;Total;2005;3973
36;Pontevedra;36001 Arbo;Total;2004;4018
36;Pontevedra;36001 Arbo;Total;2003;4121
36;Pontevedra;36001 Arbo;Total;2002;4173
36;Pontevedra;36001 Arbo;Total;2001;4255
36;Pontevedra;36001 Arbo;Total;2000;4318
36;Pontevedra;36001 Arbo;Total;1999;4459
36;Pontevedra;36001 Arbo;Total;1998;4459
36;Pontevedra;36001 Arbo;Total;1997;
36;Pontevedra;36001 Arbo;Total;1996;5019
36;Pontevedra;36001 Arbo;Hombres;2023;1367
36;Pontevedra;36001 Arbo;Hombres;2022;1362
36;Pontevedra;36001 Arbo;Hombres;2021;1350
36;Pontevedra;36001 Arbo;Hombres;2020;1335
36;Pontevedra;36001 Arbo;Hombres;2019;1328
36;Pontevedra;36001 Arbo;Hombres;2018;1348
36;Pontevedra;36001 Arbo;Hombres;2017;1384
36;Pontevedra;36001 Arbo;Hombres;2016;1412
36;Pontevedra;36001 Arbo;Hombres;2015;1440
36;Pontevedra;36001 Arbo;Hombres;2014;1471
36;Pontevedra;36001 Arbo;Hombres;2013;1488
36;Pontevedra;36001 Arbo;Hombres;2012;1585
36;Pontevedra;36001 Arbo;Hombres;2011;1863
36;Pontevedra;36001 Arbo;Hombres;2010;1903
36;Pontevedra;36001 Arbo;Hombres;2009;1894
36;Pontevedra;36001 Arbo;Hombres;2008;1915
36;Pontevedra;36001 Arbo;Hombres;2007;1933
36;Pontevedra;36001 Arbo;Hombres;2006;1979
36;Pontevedra;36001 Arbo;Hombres;2005;1974
36;Pontevedra;36001 Arbo;Hombres;2004;1996
36;Pontevedra;36001 Arbo;Hombres;2003;2023
36;Pontevedra;36001 Arbo;Hombres;2002;2052
